University Name,No,Country,Group
Massachusetts Institute of Technology,1,United States,North American
University of Oxford,2,British,European
Stanford University,3,United States,North American
University of Cambridge,3,British,European
Harvard University,5,United States,North American
California Institute of Technology,6,United States,North American
Imperial College London,7,British,European
Swiss Federal Institute of Technology Zurich,8,Switzerland,European
University College London,8,British,European
University of Chicago,10,United States,North American
National University of Singapore,11,Singapore,Asia/Oceania
Nanyang Technological University,12,Singapore,Asia/Oceania
University of Pennsylvania,13,United States,North American
Swiss Federal Institute of Technology in Lausanne,14,Switzerland,European
Yale University,14,United States,North American
University of Edinburgh,16,British,European
Tsinghua University,17,China,Asia/Oceania
Peking University,18,China,Asia/Oceania
Columbia University,19,United States,North American
Princeton University,20,United States,North American
Cornell University,21,United States,North American
University of Hong Kong,22,"HongKong, China",Asia/Oceania
University of Tokyo,23,Japan,Asia/Oceania
"University of Michigan, Ann Arbor",23,United States,North American
Johns Hopkins University,25,United States,North American
University of Toronto,26,Canada,North American
McGill University,27,Canada,North American
Australian National University,27,Australia,Asia/Oceania
University of Manchester,27,British,European
Northwestern University,30,United States,North American
Fudan University,31,China,Asia/Oceania
"University of California, Berkeley",32,United States,North American
Kyoto University,33,Japan,Asia/Oceania
Hong Kong University of Science and Technology,34,"HongKong, China",Asia/Oceania
King's College London,35,British,European
Seoul National University,36,South Korea,Asia/Oceania
University of Melbourne,37,Australia,Asia/Oceania
University of Sydney,38,Australia,Asia/Oceania
Chinese University of Hong Kong,39,"HongKong, China",Asia/Oceania
"University of California, Los Angeles",40,United States,North American
Korea Advanced Institute of Science and Technology,41,South Korea,Asia/Oceania
New York University,42,United States,North American
University of New South Wales,43,Australia,Asia/Oceania
Paris Sciences & Lettres-PSL University,44,France,European
Zhejiang University,45,China,Asia/Oceania
University of British Columbia,46,Canada,North American
University of Queensland,47,Australia,Asia/Oceania
"University of California, San Diego",48,United States,North American
Institut Polytechnique de Paris,49,France,European
London School of Economics and Political Science,49,British,European
Shanghai Jiao Tong University,50,China,Asia/Oceania
Technical University of Munich,50,Germany,European
Duke University,52,United States,North American
Carnegie Mellon University,53,United States,North American
City University of Hong Kong,53,"HongKong, China",Asia/Oceania
University of Amsterdam,55,The Netherlands,European
Tokyo Institute of Technology,56,Japan,Asia/Oceania
Delft University of Technology,57,The Netherlands,European
Monash University,58,Australia,Asia/Oceania
Brown University,60,United States,North American
University of Warwick,61,British,European
University of Bristol,62,British,European
Ruprecht Karls University Heidelberg,63,Germany,European
University of Munich,64,Germany,European
Universiti Malaya,65,Malaysia,Asia/Oceania
Hong Kong Polytechnic University,66,"HongKong, China",Asia/Oceania
"University of Texas, Austin",67,United States,North American
National Taiwan University,68,"Taiwan, China",Asia/Oceania
Universidad de Buenos Aires,69,Argentina,other
KU Leuven,70,Belgium,European
University of Zurich,70,Switzerland,European
Sorbonne University,72,France,European
University of Glasgow,73,British,European
Korea University,74,South Korea,Asia/Oceania
Osaka University,75,Japan,Asia/Oceania
"University of Wisconsin, Madison",75,United States,North American
University of Southampton,77,British,European
Lomonosov Moscow State University,78,Russia,European
University of Copenhagen,79,Denmark,European
Yonsei University,79,South Korea,Asia/Oceania
Pohang University of Science and Technology,81,South Korea,Asia/Oceania
Durham University,82,British,European
Tohoku University,82,Japan,Asia/Oceania
"University of Illinois, Urbana-Champaign",82,United States,North American
University of Auckland,85,New Zealand,Asia/Oceania
University of Washington,85,United States,North American
Universite Paris Saclay,86,France,European
Lund University,87,Sweden,European
Georgia Institute of Technology,88,United States,North American
KTH Royal Institute of Technology,89,Sweden,European
University of Birmingham,90,British,European
University of St Andrews,91,British,European
University of Leeds,92,British,European
University of Western Australia,93,Australia,Asia/Oceania
Rice University,94,United States,North American
University of Sheffield,95,British,European
Pennsylvania State University,96,United States,North American
Sungkyunkwan University,97,South Korea,Asia/Oceania
University of Science and Technology of China,98,China,Asia/Oceania
Technical University of Denmark,99,Denmark,European
"University of North Carolina, Chapel Hill",100,United States,North American
"Trinity College Dublin, University of Dublin",101,Ireland,European
University of Oslo,102,Norway,European
University of Nottingham,103,British,European
University of Helsinki,104,Finland,European
Universidad Nacional Autonoma de Mexico,105,Mexico,North American
University of Geneva,105,Switzerland,European
Washington University in St Louis,107,United States,North American
University of Adelaide,108,Australia,Asia/Oceania
